Precipitacion;Temp_Aire_med;Temp_Aire_max;Temp_Aire_min;Temp_Rocio_med;Humedad_med;Presion_Atm_med;Insolacion;Evaporacion;semana
5,4;22,5;27,0;19,4;19,7;84,0;999,0;1,0;0,0;40,0
44,1;27,3;31,9;21,4;21,1;70,0;994,0;8,7;s/d;41,0
8,8;23,9;26,8;21,6;21,3;86,0;995,0;3,0;0,8;41,0
0,0;28,1;33,0;21,3;23,3;76,0;992,0;7,0;4,5;41,0
0,0;31,8;37,8;23,2;22,4;59,0;992,0;9,3;5,2;41,0
4,0;24,7;29,5;24,0;22,0;86,0;995,0;4,0;5,1;41,0
5,0;19,8;23,5;16,0;14,9;93,0;1005,0;0,0;1,6;41,0
0,0;17,5;21,2;15,4;13,5;78,0;1006,0;1,0;0,9;41,0
0,0;21,5;25,5;12,8;13,0;61,0;1004,0;8,7;3,0;42,0
0,0;28,7;33,8;17,2;19,6;59,0;999,0;9,6;7,5;42,0
0,0;30,2;34,5;24,4;20,3;56,0;996,0;7,2;8,8;42,0
0,4;30,1;37,5;27,9;21,1;59,0;995,0;10,2;9,0;42,0
1,4;22,4;30,0;21,6;17,5;75,0;1001,0;1,0;2,7;42,0
0,0;25,5;29,5;19,1;19,3;69,0;996,0;5,2;3,7;42,0
17,5;26,5;32,8;23,2;21,5;76,0;997,0;5,4;5,6;42,0
0,0;19,9;24,0;17,8;9,7;56,0;1005,0;9,9;6,9;43,0
0,0;21,2;27,5;12,2;8,2;46,0;1002,0;11,2;5,0;43,0
0,0;28,1;32,5;16,9;19,2;59,0;998,0;10,0;5,5;43,0
78,8;23,3;27,5;24,9;18,0;72,0;997,0;0,6;s/d;43,0
24,9;19,5;21,5;18,9;18,2;92,0;996,0;0,6;s/d;43,0
9,5;20,0;26,5;18,1;17,4;86,0;995,0;6,2;0,5;43,0
0,1;22,9;27,4;16,2;15,2;64,0;995,0;11,0;5,0;43,0
0,5;27,9;32,5;19,2;22,1;72,0;1001,0;4,2;3,0;44,0
0,0;24,4;29,0;21,6;20,4;79,0;995,0;4,7;3,8;44,0
0,0;25,2;29,5;20,0;14,8;53,0;1001,0;11,2;7,9;44,0
0,0;23,7;31,5;14,4;13,3;54,0;999,0;11,5;6,9;44,0
1,0;28,3;33,5;23,1;18,8;57,0;995,0;11,4;4,0;44,0
40,0;21,9;28,0;19,3;17,5;77,0;995,0;5,2;s/d;44,0
18,3;20,3;22,8;19,2;17,9;86,0;997,0;1,0;3,2;44,0
0,0;25,2;29,0;18,8;18,4;66,0;1000,0;10,5;5,0;45,0
