"";"Precipitacion";"Temp_Aire_med";"Temp_Aire_max";"Temp_Aire_min";"Temp_Rocio_med";"Humedad_med";"Presion_Atm_med";"Insolacion";"Evaporacion";"semana"
"303";"2,0";"22,8";"25,0";"20,4";"21,9";"92";"997";"0,0";"1,0";43
"304";"3,3";"24,9";"29,0";"22,0";"21,9";"80";"998";"2,7";"0,8";43
"305";"0,5";"24,3";"30,5";"23,0";"21,3";"80";"996";"6,0";"5,5";43
"306";"0,0";"21,4";"26,7";"18,0";"14,6";"62";"1000";"10,7";"6,7";43
"307";"0,0";"22,4";"29,5";"15,0";"14,1";"54";"1000";"11,0";"8,4";43
"308";"0,0";"24,1";"31,0";"18,4";"14,7";"51";"997";"11,3";"6,2";44
"309";"0,0";"28,4";"34,5";"20,2";"23,2";"66";"994";"10,6";"s/d";44
"310";"27,9";"31,3";"35,0";"27,5";"21,7";"70";"996";"3,6";"s/d";44
"311";"0,0";"23,0";"25,0";"20,0";"19,9";"83";"999";"0,3";"2,1";44
"312";"0,0";"25,7";"30,0";"21,8";"22,2";"82";"994";"5,2";"2,5";44
"313";"72,6";"28,6";"33,4";"23,8";"21,7";"88";"993";"4,6";"s/d";44
"314";"0,0";"27,0";"31,5";"18,9";"21,4";"73";"996";"9,8";"6,4";44
"315";"0,0";"29,3";"33,5";"21,4";"22,5";"68";"997";"8,8";"6,7";45
"316";"0,0";"26,9";"29,5";"23,8";"21,2";"71";"1000";"0,0";"4,8";45
"317";"0,0";"27,1";"32,0";"21,6";"21,5";"72";"1002";"10,8";"6,7";45
"318";"0,0";"28,1";"31,5";"21,0";"19,9";"62";"1000";"11,3";"7,8";45
"319";"0,0";"27,4";"31,0";"22,0";"19,1";"61";"998";"9,0";"6,8";45
"320";"0,0";"28,5";"32,1";"21,4";"21,0";"65";"993";"11,3";"7,3";45
"321";"0,0";"30,7";"35,0";"23,2";"22,9";"64";"993";"11,3";"9,2";45
"322";"0,0";"32,2";"36,0";"26,4";"23,6";"61";"992";"9,8";"8,5";46
"323";"110,7";"34,1";"36,6";"28,4";"23,2";"54";"992";"8,3";"s/d";46
"324";"0,0";"23,3";"27,5";"20,9";"17,5";"71";"998";"7,0";"6,0";46
"325";"0,0";"25,4";"30,5";"16,5";"15,5";"56";"998";"11,2";"6,6";46
"326";"0,0";"28,7";"34,0";"19,8";"21,3";"65";"997";"5,5";"5,1";46
"327";"56,0";"30,4";"34,5";"24,6";"22,7";"64";"994";"11,5";"s/d";46
"328";"8,3";"21,2";"28,8";"19,9";"19,0";"88";"1001";"0,0";"6,5";46
"329";"0,0";"23,8";"28,5";"17,2";"13,6";"54";"1002";"11,5";"7,8";47
"330";"0,0";"27,3";"31,5";"15,8";"18,4";"60";"1001";"11,2";"6,5";47
"331";"0,0";"27,9";"32,0";"20,2";"20,2";"64";"999";"11,0";"8,3";47
"332";"44,1";"29,5";"33,5";"21,2";"22,0";"65";"993";"8,5";"s/d";47
"333";"12,1";"25,5";"28,5";"22,4";"21,5";"92";"991";"0,0";"s/d";47
"334";"0,0";"23,8";"27,5";"20,6";"18,6";"74";"999";"8,7";"2,9";47
"335";"0,0";"26,2";"31,0";"19,2";"20,4";"71";"1000";"11,2";"9,6";47
"336";"0,0";"29,2";"33,5";"20,0";"19,9";"58";"998";"10,7";"7,9";48
"337";"24,1";"29,9";"33,0";"25,4";"22,4";"65";"997";"8,0";"8,7";48
"338";"0,0";"24,5";"28,5";"21,8";"22,8";"91";"999";"0,0";"3,2";48
"339";"0,0";"27,3";"30,5";"22,8";"22,4";"75";"996";"4,7";"4,7";48
"340";"0,0";"27,0";"30,5";"23,5";"21,1";"71";"994";"7,0";"6,2";48
"342";"0,0";"26,6";"30,0";"20,4";"16,6";"55";"998";"11,0";"9,2";48
"343";"0,0";"21,4";"24,5";"18,2";"12,3";"56";"1002";"11,5";"10,4";48
"344";"0,0";"21,2";"27,5";"15,1";"12,3";"57";"1000";"11,2";"s/d";49
"345";"0,0";"23,7";"31,0";"15,5";"13,5";"54";"996";"11,5";"s/d";49
"346";"0,0";"28,7";"33,5";"17,6";"15,2";"45";"998";"11,2";"7,9";49
"347";"0,0";"29,2";"34,0";"19,0";"15,4";"45";"1002";"9,7";"7,7";49
"348";"0,0";"22,5";"27,5";"18,9";"13,2";"56";"1007";"11,0";"6,0";49
"349";"0,0";"23,0";"31,0";"15,0";"s/d";"s/d";"s/d";"11,7";"6,5";49
"350";"0,0";"24,9";"32,8";"17,0";"s/d";"s/d";"s/d";"s/d";"7,5";49
"351";"0,0";"30,6";"37,0";"24,0";"18,6";"50";"1000";"8,2";"8,0";50
"352";"0,0";"32,1";"37,5";"24,2";"22,3";"56";"998";"11,3";"10,0";50
"353";"42,5";"26,9";"35,5";"24,8";"21,7";"76";"998";"2,8";"s/d";50
"354";"0,0";"28,5";"35,5";"21,7";"22,0";"68";"995";"10,8";"8,7";50
"355";"0,0";"29,8";"36,0";"26,8";"23,4";"69";"997";"11,5";"8,9";50
"356";"0,0";"29,0";"31,0";"26,9";"s/d";"sd";"s/d";"s/d";"6,5";50
"357";"0,0";"29,6";"36,5";"22,6";"s/d";"s/d";"s/d";"11,8";"7,8";50
"358";"0,0";"32,6";"37,0";"26,1";"23,1";"58";"998";"9,5";"9,4";51
"359";"0,0";"30,7";"35,7";"26,8";"23,6";"66";"999";"10,2";"7,9";51
"360";"0,0";"32,7";"37,4";"26,2";"22,2";"56";"996";"10,0";"8,9";51
"361";"0,0";"33,0";"37,0";"26,2";"21,4";"51";"995";"11,0";"9,7";51
"362";"4,9";"29,1";"32,0";"27,8";"23,2";"72";"995";"5,2";"3,3";51
"363";"0,3";"26,2";"29,0";"23,4";"s/d";"s/d";"s/d";"s/d";"2,5";51
"364";"0,0";"28,8";"33,0";"24,5";"s/d";"s/d";"s/d";"9,8";"7,0";51
"365";"4,3";"28,3";"34,0";"22,5";"s/d";"s/d";"s/d";"s/d";"2,3";52
"366";"0,0";"29,5";"35,0";"23,9";"s/d";"s/d";"s/d";"11,5";"5,3";52
"367";"0,0";"30,5";"35,4";"25,0";"22,6";"64";"995";"7,0";"6,5";52
"368";"0,0";"32,4";"37,0";"24,2";"24,3";"64";"992";"11,4";"10,5";52
"369";"21,8";"31,3";"35,7";"26,8";"22,8";"82";"994";"5,9";"6,3";52
"370";"0,0";"29,5";"35,6";"23,4";"s/d";"s/d";"s/d";"s/d";"3,0";52
"371";"3,4";"30,1";"35,0";"25,2";"s/d";"s/d";"s/d";"8,2";"5,2";52
"372";"0,0";"29,0";"32,5";"25,5";"s/d";"s/d";"s/d";"s/d";"3,2";52
