"","Anho","Serotipo","semana","Total_Casos_Dengue(b)","Tasa _Incidencia _(c)","Confirmados_Laboratorio","Dengue_Grave_ (d)","DG/D_x100_(e)","Muertes","Letalidad_f","Poblacion_X1000","Precipitacion","Temp_Aire_med","Temp_Aire_max","Temp_Aire_min","Temp_Rocio_med","Humedad_med","Presion_Atm_med","Insolacion","Evaporacion"
"68","2018","DEN 1, 4","16",25.406,"368.36",2.777,NA,NA,12,"0.047",6.897,0,27.6285714285714,34,19.2,20.5,66.5714285714286,1002.85714285714,9.48571428571429,4.24285714285714
"69","2018","DEN 1, 4","17",26.048,"377.67",2.929,NA,NA,13,"0.050",6.897,0,28,35,19.8,19.6571428571429,62.7142857142857,1001.71428571429,8.25714285714286,4.9
"70","2018","DEN 1, 4","18",26.514,"384.43",2.946,NA,NA,13,"0.049",6.897,5.4,27.1571428571429,36,19.6,19.2571428571429,65,1001.28571428571,7.17142857142857,3.65714285714286
"71","2018","DEN 1, 4","19",26.795,"388.50",3.011,NA,NA,13,"0.049",6.897,4.45714285714286,23.9428571428571,32.3,13,17.7571428571429,70.4285714285714,1001.71428571429,7.05714285714286,2.9
"72","2018","DEN 1, 4","20",26.963,"390.94",3.177,NA,NA,13,"0.048",6.897,9.42857142857143,20.0142857142857,29.8,10,16.6857142857143,82.1428571428571,1001.42857142857,5.35714285714286,2.1
"73","2018","DEN 1, 4","21",27.061,"392.36",3.283,NA,NA,13,"0.048",6.897,0,19.1142857142857,30.6,9,12.3,67.4285714285714,1006.42857142857,8.54285714285714,2.34285714285714
"74","2018","DEN 1, 4","22",27.116,"393.16",3.306,NA,NA,13,"0.048",6.897,4.51428571428571,18.8714285714286,30,8,12.9857142857143,72.2857142857143,1004.28571428571,3.67142857142857,2.65
"75","2018","DEN 1, 4","23",27.139,"393.49",3.368,NA,NA,13,"0.048",6.897,0,16.6428571428571,30.5,5.4,11.6428571428571,74.5714285714286,1003.14285714286,4.08571428571429,1.94285714285714
"76","2018","DEN 1, 4","24",27.141,"393.52",3.384,NA,NA,14,"0.052",6.897,0,14.5142857142857,28,3.9,5.98333333333333,66.6666666666667,1012.83333333333,3.77142857142857,2.52857142857143
"77","2018","DEN 1, 4","25",27.149,"393.63",3.389,NA,NA,14,"0.052",6.897,0.214285714285714,20.4142857142857,31,8.5,14.1285714285714,70.7142857142857,1004,6.61666666666667,3.14285714285714
"78","2018","DEN 1, 4","26",27.149,"393.63",3.395,NA,NA,14,"0.052",6.897,3.6,20.2428571428571,30.5,10.6,16.2285714285714,79.7142857142857,999.857142857143,4.54285714285714,2.63333333333333
"79","2018","DEN 1, 4","27",27.449,"397.98",3.406,NA,NA,14,"0.051",6.897,5.5,17.8,30,10,14.7833333333333,85.8333333333333,997.333333333333,1.67142857142857,1.7
"80","2018","DEN 1, 4","28",27.93,"404.96",3.407,NA,NA,14,"0.050",6.897,0,18.3285714285714,32,4.6,11.8285714285714,69.1428571428571,998.5,5.78571428571429,2.15714285714286
"81","2018","DEN 1, 4","29",28.272,"409.92",2.41,NA,NA,15,"0.053",6.897,1.44285714285714,21.4428571428571,33,5,13.5,68.1428571428571,997,5.94285714285714,3.37142857142857
"82","2018","DEN 1, 4","30",28.393,"411.67",3.411,NA,NA,15,"0.053",6.897,0,13.9571428571429,23.5,6.5,10.3,80.4285714285714,994,2.95714285714286,2.1
"83","2018","DEN 1, 4","31",28.399,"411.76",3.411,NA,NA,15,"0.053",6.897,0,14.8142857142857,23,6.4,8.5,68.4285714285714,1001.57142857143,5.08571428571429,2.84285714285714
"84","2018","DEN 1, 4","32",28.721,"416.43",3.411,NA,NA,15,"0.052",6.897,0.114285714285714,17.2142857142857,29.5,5,9.28571428571428,63,1005.57142857143,7.68571428571429,2.75714285714286
"85","2018","DEN 1, 4","33",28.817,"417.82",3.412,NA,NA,15,"0.052",6.897,1,21.1714285714286,31.5,11.8,13.15,68.4285714285714,1005.57142857143,5.64285714285714,3.2
"86","2018","DEN 1, 4","34",28.817,"417.82",3.412,NA,NA,15,"0.052",6.897,0.585714285714286,14.4571428571429,29,4.8,7.74285714285714,67.5714285714286,1008.14285714286,4.77142857142857,2.51428571428571
"87","2018","DEN 1, 4","35",28.819,"417.85",3.413,NA,NA,15,"0.052",6.897,6.07142857142857,19.4714285714286,37,4,11.425,70.75,1002.5,5.14285714285714,2.4
"88","2018","DEN 1, 4","36",28.819,"417.85",3.413,NA,NA,15,"0.052",6.897,0.0428571428571429,21.5571428571429,32.5,8.9,11.5,57.5714285714286,1004.14285714286,8.6,3.98571428571429
"89","2018","DEN 1, 4","37",28.848,"418.27",3.413,NA,NA,15,"0.052",6.897,10.2857142857143,22.3857142857143,31,14.2,16.5428571428571,72.8571428571429,999.857142857143,5.24285714285714,4.1
"90","2018","DEN 1, 4","38",29.107,"422.02",3.413,NA,NA,15,"0.052",6.897,2.07142857142857,26.0571428571429,37,13.8,19.3571428571429,68.2857142857143,996.857142857143,7.88571428571429,4.71666666666667
"91","2018","DEN 1, 4","39",29.162,"422.82",3.413,NA,NA,15,"0.051",6.897,9.31428571428571,24.8857142857143,33.7,19.4,20.2714285714286,77.2857142857143,996,5.61428571428571,4.33333333333333
"92","2018","DEN 1, 4","40",29.301,"424.84",3.413,NA,NA,15,"0.051",6.897,13.5857142857143,21.4,34.5,17,15.5142857142857,71.5714285714286,1000.42857142857,4,3.675
"93","2018","DEN 1, 4","41",30.658,"444.51",3.413,NA,NA,15,"0.049",6.897,15.6142857142857,22.8857142857143,32.5,18,20.0428571428571,82,997.714285714286,4.14285714285714,2.85
"94","2018","DEN 1, 4","42",30.679,"444.82",3.413,NA,NA,15,"0.049",6.897,0.0142857142857143,25.1428571428571,33.5,15.7,19.8,67.5714285714286,996.142857142857,8.4,6.7
"95","2018","DEN 1, 4","43",31.066,"450.43",3.414,NA,NA,15,"0.048",6.897,8.17142857142857,23.4142857142857,31,15,18.7285714285714,73.7142857142857,998.285714285714,5.3,4.63333333333333
"96","2018","DEN 1, 4","44",31.067,"450.44",3.414,NA,NA,15,"0.048",6.897,14.3571428571429,26.8714285714286,35,18.4,20.6857142857143,73.2857142857143,995.571428571429,6.48571428571429,4.3
"97","2018","DEN 1, 4","45",31.163,"451.83",3.414,NA,NA,15,"0.048",6.897,0,28.2857142857143,35,21,21.1571428571429,66.1428571428571,997.571428571429,8.92857142857143,7.04285714285714
"98","2018","DEN 1, 4","46",31.278,"453.50",3.414,NA,NA,15,"0.048",6.897,25,27.9,36.6,16.5,20.4,65.5714285714286,996,7.61428571428571,6.54
"99","2018","DEN 1, 4","47",31.634,"458.66",3.414,NA,NA,15,"0.047",6.897,8.02857142857143,26.2857142857143,33.5,15.8,19.2428571428571,68.5714285714286,997.857142857143,8.87142857142857,7.02
"100","2018","DEN 1, 4","48",31.635,"458.68",3.414,NA,NA,15,"0.047",6.897,3.44285714285714,26.5571428571429,33.5,18.2,19.6428571428571,67.2857142857143,997.714285714286,7.55714285714286,7.18571428571429
"101","2018","DEN 1, 4","49",31.635,"458.68",3.414,NA,NA,15,"0.047",6.897,0,24.7428571428571,34,15,13.92,51.4,1000.6,11.05,7.12
"102","2018","DEN 1, 4","50",32.008,"464.09",3.414,NA,NA,15,"0.047",6.897,6.07142857142857,29.5,37.5,21.7,21.6,63.8,997.6,9.4,8.31666666666667
"103","2018","DEN 1, 4","51",32.01,"464.11",3.414,NA,NA,15,"0.047",6.897,0.742857142857143,30.4428571428571,37.4,23.4,22.7,60.6,996.6,9.28333333333333,6.95714285714286
"104","2018","DEN 1, 4","52",32.359,"469.18",3.414,NA,NA,15,"0.046",6.897,3.6875,30.075,37,22.5,23.2333333333333,70,993.666666666667,8.8,5.2875
